gpu_name,folder_name,nb_views,epochs,patience,min_delta,data_dir,category,log_suffix,epoch_earlystop,views_config,opti_mvtn,lr_opti,lr_mvtn_optimizer,weight_decay,batch_size,pc_rendering,simplified_mesh,canonical_dist,best_accuracy,best_epoch,simplified_mesh.1,acc_bvs,acc_inference,nb_test_inference,RQ
Quadro RTX 8000,results_06-12_14h42m41,12,50,10,0.001,/projects/reva/mpelissi/Dataset/ModelNet40,all,mesh_rendering_C-12,20,circular,None,1e-05,None,0.03,4,False,False,2.2,90.51863857374391,16,False,,,,
Quadro RTX 6000,results_06-06_10h45m03,20,50,10,0.001,/projects/reva/mpelissi/Dataset/ModelNet40,all,spherical-20,39,spherical,None,1e-05,None,0.03,16,True,False,1.1,90.80226904376012,29,False,-123,-456,-789,
Quadro RTX 5000,results_06-05_11h39m05,12,50,10,0.001,/home/mpelissi/Dataset/ModelNet40/,all,circular,33,circular,None,1e-05,None,0.03,16,True,False,1.1,89.50567260940032,30,False,55.431131019036954,60.13437849944009,1786,inf_view2
Quadro RTX 5000,results_06-05_11h47m48,12,50,10,0.001,/home/mpelissi/Dataset/ModelNet40/,all,spherical,30,spherical,None,1e-05,None,0.03,16,True,False,1.1,91.12641815235008,20,False,50.99218280216476,41.070354780517135,1663,inf_view2
Quadro RTX 8000,results_06-06_10h46m35,20,50,10,0.001,/projects/reva/mpelissi/Dataset/ModelNet40,all,circular-20,28,circular,None,1e-05,None,0.03,16,True,False,1.1,89.22204213938411,19,False,-123,-456,-789,
Quadro RTX 8000,results_06-13_15h07m08,12,50,10,0.001,/projects/reva/mpelissi/Dataset/ModelNet40,all,mesh_rendering_S-12,36,spherical,None,1e-05,None,0.03,16,False,True,2.2,91.93679092382496,17,True,51.11244738424534,43.05472038484666,1663,inf_view2
Quadro RTX 5000,results_06-12_17h10m05,12,50,10,0.001,/home/mpelissi/Dataset/ModelNet40/,all,circular,25,circular,None,1e-05,None,0.03,16,False,True,2.2,90.27552674230144,15,True,69.82082866741321,67.13325867861143,1786,inf_view2
Quadro RTX 6000,results_06-05_17h13m24,12,50,10,0.001,/projects/reva/mpelissi/Dataset/ModelNet40,all,random,50,random,None,1e-05,None,0.03,16,True,False,1.1,89.6677471636953,42,False,-123,-456,-789,
Quadro RTX 6000,results_06-12_11h16m14,12,50,10,0.001,/projects/reva/mpelissi/Dataset/ModelNet40,all,mesh_rendering-12,29,spherical,None,1e-05,None,0.03,4,False,False,2.2,91.9773095623987,17,False,46.60252555622369,29.404690318701142,1663,inf_view2
Quadro RTX 5000,results_05-19_18h20m13,1,100,None,None,/home/mpelissi/Dataset/ModelNet40/,all,circular,not saved,circular,not saved,not saved,not saved,0.03,16,True,False,1.1,86.58833063209076,44,False,-123,-456,-789,
Quadro RTX 5000,results_05-14_18h05m48,8,100,None,None,/home/mpelissi/Dataset/ModelNet40/,all,circular,not saved,circular,not saved,not saved,not saved,0.03,16,True,False,1.1,89.54619124797406,28,False,-123,-456,-789,
Quadro RTX 6000,results_06-10_15h50m23,20,50,10,0.001,/projects/reva/mpelissi/Dataset/ModelNet40,all,random-20,None,random,None,1e-05,None,0.03,16,True,False,1.1,89.74878444084278,42,False,-123,-456,-789,
