Epoch,Batch,Name,Mesh_Vertices,Target,Points_Shape
1,1,/home/mpelissi/Dataset/ModelNet40//monitor/train/monitor_0260_SMPLER.obj,26,22,"torch.Size([2048, 3])"
1,1,/home/mpelissi/Dataset/ModelNet40//glass_box/train/glass_box_0079_SMPLER.obj,496,16,"torch.Size([2048, 3])"
1,2,/home/mpelissi/Dataset/ModelNet40//tent/train/tent_0147_SMPLER.obj,727,34,"torch.Size([2048, 3])"
1,2,/home/mpelissi/Dataset/ModelNet40//monitor/train/monitor_0075_SMPLER.obj,2918,22,"torch.Size([2048, 3])"
1,3,/home/mpelissi/Dataset/ModelNet40//door/train/door_0035_SMPLER.obj,1460,13,"torch.Size([2048, 3])"
1,3,/home/mpelissi/Dataset/ModelNet40//curtain/train/curtain_0035_SMPLER.obj,952,11,"torch.Size([2048, 3])"
1,4,/home/mpelissi/Dataset/ModelNet40//toilet/train/toilet_0045_SMPLER.obj,569,35,"torch.Size([2048, 3])"
1,4,/home/mpelissi/Dataset/ModelNet40//desk/train/desk_0037_SMPLER.obj,245,12,"torch.Size([2048, 3])"
1,5,/home/mpelissi/Dataset/ModelNet40//stairs/train/stairs_0097_SMPLER.obj,390,31,"torch.Size([2048, 3])"
1,5,/home/mpelissi/Dataset/ModelNet40//laptop/train/laptop_0060_SMPLER.obj,319,20,"torch.Size([2048, 3])"
1,6,/home/mpelissi/Dataset/ModelNet40//curtain/train/curtain_0129_SMPLER.obj,15260,11,"torch.Size([2048, 3])"
1,6,/home/mpelissi/Dataset/ModelNet40//stairs/train/stairs_0010_SMPLER.obj,4441,31,"torch.Size([2048, 3])"
1,7,/home/mpelissi/Dataset/ModelNet40//cone/train/cone_0145_SMPLER.obj,48,9,"torch.Size([2048, 3])"
1,7,/home/mpelissi/Dataset/ModelNet40//bed/train/bed_0188_SMPLER.obj,9398,2,"torch.Size([2048, 3])"
1,8,/home/mpelissi/Dataset/ModelNet40//piano/train/piano_0106_SMPLER.obj,2497,25,"torch.Size([2048, 3])"
1,8,/home/mpelissi/Dataset/ModelNet40//mantel/train/mantel_0090_SMPLER.obj,501,21,"torch.Size([2048, 3])"
1,9,/home/mpelissi/Dataset/ModelNet40//monitor/train/monitor_0025_SMPLER.obj,838,22,"torch.Size([2048, 3])"
1,9,/home/mpelissi/Dataset/ModelNet40//stairs/train/stairs_0022_SMPLER.obj,449,31,"torch.Size([2048, 3])"
1,10,/home/mpelissi/Dataset/ModelNet40//bookshelf/train/bookshelf_0032_SMPLER.obj,292,4,"torch.Size([2048, 3])"
1,10,/home/mpelissi/Dataset/ModelNet40//chair/train/chair_0575_SMPLER.obj,2557,8,"torch.Size([2048, 3])"
1,11,/home/mpelissi/Dataset/ModelNet40//table/train/table_0120_SMPLER.obj,80,33,"torch.Size([2048, 3])"
1,11,/home/mpelissi/Dataset/ModelNet40//toilet/train/toilet_0111_SMPLER.obj,1896,35,"torch.Size([2048, 3])"
1,12,/home/mpelissi/Dataset/ModelNet40//toilet/train/toilet_0070_SMPLER.obj,2736,35,"torch.Size([2048, 3])"
1,12,/home/mpelissi/Dataset/ModelNet40//airplane/train/airplane_0517_SMPLER.obj,6176,0,"torch.Size([2048, 3])"
1,13,/home/mpelissi/Dataset/ModelNet40//tv_stand/train/tv_stand_0157_SMPLER.obj,199,36,"torch.Size([2048, 3])"
1,13,/home/mpelissi/Dataset/ModelNet40//plant/train/plant_0091_SMPLER.obj,1913,26,"torch.Size([2048, 3])"
1,14,/home/mpelissi/Dataset/ModelNet40//bed/train/bed_0456_SMPLER.obj,333,2,"torch.Size([2048, 3])"
1,14,/home/mpelissi/Dataset/ModelNet40//chair/train/chair_0427_SMPLER.obj,16757,8,"torch.Size([2048, 3])"
1,15,/home/mpelissi/Dataset/ModelNet40//sofa/train/sofa_0378_SMPLER.obj,16064,30,"torch.Size([2048, 3])"
1,15,/home/mpelissi/Dataset/ModelNet40//plant/train/plant_0207_SMPLER.obj,5814,26,"torch.Size([2048, 3])"
1,16,/home/mpelissi/Dataset/ModelNet40//range_hood/train/range_hood_0082_SMPLER.obj,1504,28,"torch.Size([2048, 3])"
1,16,/home/mpelissi/Dataset/ModelNet40//vase/train/vase_0445_SMPLER.obj,2009,37,"torch.Size([2048, 3])"
1,17,/home/mpelissi/Dataset/ModelNet40//table/train/table_0203_SMPLER.obj,72,33,"torch.Size([2048, 3])"
1,17,/home/mpelissi/Dataset/ModelNet40//toilet/train/toilet_0057_SMPLER.obj,9938,35,"torch.Size([2048, 3])"
1,18,/home/mpelissi/Dataset/ModelNet40//chair/train/chair_0017_SMPLER.obj,767,8,"torch.Size([2048, 3])"
1,18,/home/mpelissi/Dataset/ModelNet40//vase/train/vase_0063_SMPLER.obj,11063,37,"torch.Size([2048, 3])"
1,19,/home/mpelissi/Dataset/ModelNet40//sofa/train/sofa_0610_SMPLER.obj,280,30,"torch.Size([2048, 3])"
1,19,/home/mpelissi/Dataset/ModelNet40//bed/train/bed_0137_SMPLER.obj,2782,2,"torch.Size([2048, 3])"
1,20,/home/mpelissi/Dataset/ModelNet40//night_stand/train/night_stand_0089_SMPLER.obj,60,23,"torch.Size([2048, 3])"
1,20,/home/mpelissi/Dataset/ModelNet40//table/train/table_0009_SMPLER.obj,192,33,"torch.Size([2048, 3])"
1,21,/home/mpelissi/Dataset/ModelNet40//sink/train/sink_0020_SMPLER.obj,356,29,"torch.Size([2048, 3])"
1,21,/home/mpelissi/Dataset/ModelNet40//night_stand/train/night_stand_0004_SMPLER.obj,342,23,"torch.Size([2048, 3])"
1,22,/home/mpelissi/Dataset/ModelNet40//dresser/train/dresser_0003_SMPLER.obj,250,14,"torch.Size([2048, 3])"
1,22,/home/mpelissi/Dataset/ModelNet40//dresser/train/dresser_0051_SMPLER.obj,676,14,"torch.Size([2048, 3])"
1,23,/home/mpelissi/Dataset/ModelNet40//chair/train/chair_0437_SMPLER.obj,4139,8,"torch.Size([2048, 3])"
1,23,/home/mpelissi/Dataset/ModelNet40//monitor/train/monitor_0127_SMPLER.obj,3073,22,"torch.Size([2048, 3])"
1,24,/home/mpelissi/Dataset/ModelNet40//guitar/train/guitar_0121_SMPLER.obj,12348,17,"torch.Size([2048, 3])"
1,24,/home/mpelissi/Dataset/ModelNet40//cone/train/cone_0105_SMPLER.obj,26,9,"torch.Size([2048, 3])"
1,25,/home/mpelissi/Dataset/ModelNet40//cup/train/cup_0059_SMPLER.obj,2405,10,"torch.Size([2048, 3])"
1,25,/home/mpelissi/Dataset/ModelNet40//dresser/train/dresser_0147_SMPLER.obj,266,14,"torch.Size([2048, 3])"
1,26,/home/mpelissi/Dataset/ModelNet40//sofa/train/sofa_0432_SMPLER.obj,2949,30,"torch.Size([2048, 3])"
1,26,/home/mpelissi/Dataset/ModelNet40//mantel/train/mantel_0119_SMPLER.obj,5299,21,"torch.Size([2048, 3])"
1,27,/home/mpelissi/Dataset/ModelNet40//bowl/train/bowl_0022_SMPLER.obj,111,6,"torch.Size([2048, 3])"
1,27,/home/mpelissi/Dataset/ModelNet40//sofa/train/sofa_0150_SMPLER.obj,248,30,"torch.Size([2048, 3])"
1,28,/home/mpelissi/Dataset/ModelNet40//toilet/train/toilet_0075_SMPLER.obj,152,35,"torch.Size([2048, 3])"
1,28,/home/mpelissi/Dataset/ModelNet40//curtain/train/curtain_0118_SMPLER.obj,33954,11,"torch.Size([2048, 3])"
